task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,124,125,104,102,121.83,51.29
P2,962.02,203.26,125,238,114,112,109,122.33,49.78
P3,1597.98,203.26,239,322,84,84,78,99.02,48.53
P4,2241.12,203.26,323,421,99,85,82,105.33,56.06
P5,319.78,598.09,422,636,215,200,179,140.1,47.77
P6,962.02,598.09,637,748,112,101,99,145.95,61.46
P7,1597.98,598.09,749,826,78,78,77,99.57,66.58
P8,2241.12,598.09,827,912,86,71,60,43.76,27.71
P9,319.78,1008.21,913,1033,121,113,113,162.28,68.21
P10,962.02,1008.21,1034,1128,95,85,84,143.69,51.54
P11,1597.98,1008.21,1129,1193,65,65,61,75.78,43.84
P12,2241.12,1008.21,1194,1273,80,72,71,106.6,65.77
P13,319.78,1398.54,1274,1392,119,115,115,210.12,79.74
P14,962.02,1398.54,1393,1493,101,101,101,157.42,92.03
P15,1597.98,1398.54,1494,1639,146,120,120,142.72,95.07
P16,2241.12,1398.54,1640,1813,174,173,172,160.61,53.06
