task,target_x,target_y,seg_start,seg_end,n_raw,n_after_label_filter,n_final,accuracy_px,dispersion_px
P1,319.78,203.26,0,11,12,0,0,,
P2,962.02,203.26,12,147,136,82,75,95.81,62.99
P3,1597.98,203.26,148,217,70,70,65,123.9,32.73
P4,2241.12,203.26,218,302,85,60,56,140.02,39.27
P5,319.78,598.09,303,367,65,50,49,138.98,51.92
P6,962.02,598.09,368,448,81,81,77,122.77,39.99
P7,1597.98,598.09,449,524,76,76,72,117.45,49.94
P8,2241.12,598.09,525,597,73,66,65,92.69,67.71
P10,962.02,1008.21,598,766,169,85,75,86.25,51.07
P11,1597.98,1008.21,767,853,87,83,82,134.71,62.81
P12,2241.12,1008.21,854,932,79,74,73,128.71,74.88
P14,962.02,1398.54,933,1112,180,100,89,131.92,58.08
P15,1597.98,1398.54,1113,1195,83,83,79,114.17,48.08
P16,2241.12,1398.54,1196,1253,58,58,53,65.15,23.31
